,sentiment,sentence
0,1,"Le confort comme à la maison ! J'ai énormément apprécié l'accueil et je me suis sentie vraiment à mon aise dans cet établissement.
Le personnel est très bienveillant et soucieux du confort du client.
Je conseillerai cet hôtel à mes amis. nan"
1,1,"Calme et confortable. Très bon accueil, Hatim le réceptionniste est efficace et affable. La chambre est confortable, bien insonorisée.
Cela permet un repos réparateur. nan"
2,1,"Accueil chaleureux - Personnel irréprochable : surtout l’homme et la femme de ménage sont adorables. Ainsi que le réceptionniste Hatim qui a eu un excellent sens du travail, toujours à l’écoute de nos demandes 24h/24 et toujours souriant et arrangeant ! 
- Emplacement de l’établissement (a côté de république) 
- Sèche cheveux dans la salle de bain 
- 2 oreillers supplémentaires dans le placard de la chambre 
- L’hôtel a accepté de nous recevoir à la dernière minute étant donné les circonstances difficiles avec le coronavirus. - le rapport qualité prix pour la chambre supérieure 
- déçue de ne pas avoir pu prendre le petit déjeuner à cause du coronavirus 
- pommeau de douche qui fuit 
- demande de lit double mais l’hôtel ne dispose que de 2 lits jumeaux collés. 
- lumière de l’extérieur très mal isolée (le soleil rentre dans la chambre dès le matin)"
3,1,"Très correct Merci a Hatim pour l'accueil, très appréciable! Je recommande nan"
4,0,"Très bien L’accueil , la situation de l’établissement La fenêtre qui ne fermait pas très bien"
5,1,"Très bien Le réceptionniste Algérien ,très compétent et très aimable vu mon âge m’a beaucoup aidé je ne me rappelle plus de son prenom .sincerement mR .Boisseau nan"
6,1,Fabuleux  L’accueil nan
7,1,hôtel parfait pour un court séjour La chambre était très propre Il y avait un peu de bruit dans les couloirs
8,1,"Très bien L'accueil, la chambre confortable, le prix (très certainement bien réduit car réservé en dernière minute juste avant le confinement de la France pour coronavirus) Rien"
9,1,"Agréable On a tout aimé pendant notre séjours, l'accueil été chaleureux, le personnel a satisfait tous nos attentes, que je remercie infiniment. 
La chambre est lumineuse et propre, doté de tous les équipements nécessaires (boulloir, frigo, café, thé, couverture ..etc)
Que du bonheur avec Soft.
Merci bcp nan"
10,1,"Mouvementé durant la nuit, surtout après 34 hrs de vol + escales au retour de Colombie Propre, mignon, confortable, tout ce qu'il faut pour y passer 1 nuit pu plus. A proximité de la gare de l'Est. Fuite d'eau durant la nuit, au robinet du WC. Me suis réveillé vers 5.00, par le bruit de l'écoulement. Salle de bain sous l'eau, et déjà 1 partie de la chambre. Ai coupé l'eau du WC, épongé l'eau dans les 2 pièces. . . . et me suis recouché. Ai signalé le problème, le matin vers 10.00. L'hôtel a eu de la chance d'avoir loué cette chambre, faute de quoi, bonjour les dégâts d'eau depuis le 4ième étage. Pas de bol pour moi !"
11,1,"Fabuleux  Personnel très accueillant et arrangeant ! Merci à Toufik 
Emplacement
Prix nan"
12,1,"Fabuleux  Accueil très sympathique et chaleureux. 
Après une annulation de dernière minute par un précédent hôtelier, pour des raisons douteuses, nous avons réservé cet hôtel à la dernière minute. 
Suite à notre mésaventure l’hôtelier nous a très gentiment surclassé, tout en nous laissant la possibilité de comparer les deux chambres. 
L’hôtel se trouve dans une petite rue avec très peu de circulation, l’insonorisation est très bonne et le lit très confortable. nan"
13,1,Très bien Très bon petit déjeuner. Personnel très aimable. nan
14,1,Fabuleux  Personnel très agréable ! Proche de la gare de l'est ! Et propre ! J'y retournerai sûrement ! nan
15,1,"Très bien Bon emplacement et à proximité des transports, chambre propre, confortable et fonctionnelle. Le personnel était agréable, arrangeant et professionnel. Plus d'échantillons ne serait pas de refus (seulement 2 savonnettes sur l'ensemble du séjour)."
16,1,"A recommander Super Serge à l'accueil ! Buffet petit-déjeuner ++ avec personnel de service dispo, courtois et pro. nan"
17,1,"Très bien Accueil agréable, hôtel bien situé pour visiter le centre de Paris. nan"
18,1,Très bien Salle de bain petite avec un léger manque de rangements. Salle de bain petite avec un léger manque de rangements.
19,1,"Très bon hôtel pour un séjour d’affaires sur Paris. L’accueil est exceptionnel, toute l’équipe est au petits soins et d’une grande aide en cas de problème. Un grand merci à Serge, Toufik et Amina (toutes mes excuses à ceux qui ne sont pas cités) pour leur grande gentillesse et chaleureux accueil chaque jour.
La chambre était au calme, parfait pour travailler avec la bouilloire électrique à disposition pour le thé/café. Très propre. Le petit déjeuner est un buffet avec du salé et du sucré, parfait pour debuter la journée. Ce n’est malheureusement pas un point améliorable car c’est le souci des grandes villes et des règles de sécurité : le manque d’espace dans les couloirs ou l’exiguïté de certains espaces."
20,1,bien pratique SITUATION +++ nan
21,1,Excellent séjour! Excellent accueil tant en journée qu'en soirée. Très bonne qualité de la chambre. Hôtel très bien situé. Mettre à disposition une bouteille d'eau plate et une bouteille d'eau gazeuse pour l'accueil dans la chambre.
22,1,Un bon compromis Bien situé. Quartier vivant près du canal saint martin. Métro à proximité. Calme. Bien équipé. Bref je recommande. Le personnel est à l’écoute. Merci à Serge pour ses bons conseils et sa courtoisie ! nan
23,1,"Week-end à Paris La gentillesse et la disponibilité du personnel et notamment d'Hatim qui a été de bons conseils lors de notre recherche pour obtenir un taxi.
L'emplacement de l'hôtel dans une rue calme.
Bon séjour, adresse à retenir. L'insonorisation de la chambre."
24,1,"Bien  Bon hotel, au calme, bien au chaud (parfois trop ;-) avec un bon accueil de Serge.
Très bonne localisation proche de la gare du nord, de la gare de l'ouest et du canal St Martin. nan"
25,1,"Excellent séjour á Paris L'emplacement de l'hotel est idéal. Dans une rue tranquille et pas loin des gares routieres (gare du nord et gare de l'est).
L'amenagement de la chambre est parfait et permet d'utiliser tous les espaces. Le frigidaire et le séchoir sont des plus que j'ai apprécies.
Le personnel est tres aimable et acceuillant. On entend un peu le bruit des autres chambres mais c'est pas tres grave. Ca ne m'a pas vraiment dérangé."
26,1,bien bon rapport qualité prix. des fruits frais au petit déjeuner seraient appréciables.
27,0,Très bien Accueil nan
28,1,Bien  Hôtel propre et bien équipé. Personnel gentil et correcte. Le petit déjeuner est trop cher pour ce qu'on offre.
29,1,"Très bon rapport qualité prix Un super emplacement dans un quartier populaire de Paris mais un peu à l'écart. 
La chambre est très bien insonorisé, le lit king size est une perfection. Rien"
30,1,Très bien petit déjeuner bien complet. emplacement proche de l'accueil et de la porte d'entrée nan
31,1,Bien  Emplacement parfait Les parties communes ne sont pas très bien entretenues
32,1,"Bien  la situation près de la gare est appréciable, la literie est confortable et le petit déjeuner tout à fait correct. Le personnel est sympathique. La première nuit très difficile à cause du bruit d'un espace de réception voisin, la seconde très calme. La chambre est très petite et il est dommage que le second chevet soit en fait un mini bar même pas habillé. Pour un 3 étoiles c'est un peu juste."
33,1,Bien  Excellent accueil. nan
34,1,"Bon hôtel La situation
L accueil 
Le rapport qualité prix nan"
35,0,Bien  Le confort et l’accueil Le stationnement
36,1,"Correspond parfaitement à mes attentes La situation près de la gare de l'est. L'attention et la flexibilité des employés. La propreté. les possibilités de diner autour Forcément les chambres sont petites, mais en plein Paris c'est normal"
37,1,"Superbe Les lits sont très confortables. Les fenêtres sur rue bien isolées. Chambres supérieures jolies. La propreté. Bouilloires dans les chambres. La proximité de la gare de l'est. La gentillesse et l'efficacité de Serge à la réception, qui a fait le nécessaire pour répondre à nos demandes. J'ai trouvé le petit déjeuner un peu decevant, mais pour Paris sans doute pas mal. Le personnel est serviable."
38,1,"Exceptionnel Très bon accueil, literie parfaite grand lit, chambre très propre et au calme. Petit déjeuner très bien manque juste la salade de fruits. Parfait. Je recommande cet hôtel à 100%. À 5 minutes à pied de la gare de l'est. nan"
39,1,"Hôtel correct Personnel très agréable. Petit déjeuner très bon. Chambre très petite. Lit de confort acceptable, sans plus. Isolation moyenne, surtout vis-à-vis de l'extérieur."
40,1,"Bien Le calme, la proximité, la gentillesse du personnel Chambre petite"
41,1,"Un HOTEL accueillant où je reviendrai ... L'accueil du personnel est Top ! de l'arrivée, en passant par le petit déjeuner et le départ. La chambre est comme décrite, très propre. Le plus : la bouilloire et le frigo à disposition. hôtel au calme, appréciable surtout à Paris. le petit dej : classique, manque quelques fruits frais."
42,0,Trés bien emplacement et silence éclairage
43,1,"bien l'accueil très sympathique de Serge.
l'équipement de la chambre le fait que contrairement au descriptif il n'y ait plus de place de parking (nous avions sélectionné cet hôtel pour ce critère en plus de la localisation)"
44,1,"Superbe Très bon emplacement,
Personnel très accueillant, une mention à Toufik. nan"
45,1,"Très bien Propreté irréprochable, le personnel est sympathique et bienveillant. 
Nous avons eu le plaisir d’être surclassé par Toufik, nous remercions aussi Serge pour sa sympathie et sa bonne humeur. Nous avons pas réussi à faire chauffer les radiateurs."
46,1,"Bien  L'amabilité, et l'attention du personnel
La personnalisation du séjour ; mail d'accueil et questionnaire sur les attentes, puis mail en retour pour donner les possibilités de restauration attendues et enfin mail en cours de séjour pour s'assurer que tout va bien. RAS"
47,1,"Bien  L'amabilité du personnel très attentionné
La personnalisation du séjour ; mail en cours de séjour pour s'assurer que tout va bien. RAS"
48,1,"Hôtel confortable Hôtel bien placé , dans une rue calme , proche de la Gare de l’Est et du métro.
On peut laisser les bagages à la réception pour un départ tardif ou l’arrivée .
Très pratique pour un court séjour à Paris
Chambre petite mais avec tous les équipements nécessaires. 
Personnel très agréable. 
Mention spéciale à Ahmed particulièrement sympathique.
Nous reviendrons lors d’un prochain séjour ... Nous n’avons pas essayé le petit déjeuner."
49,1,"Hôtel bien situé, bien équipé et propre, très bon rapport qualité prix pour Paris centre La propreté et le confort de la chambre, en particulier de la literie, la situation et la tranquillité de l'hôtel (bon restaurant et délicieuse pâtisserie à proximité) et l'accueil du personnel, établissement à recommander pour un séjour à proximité du Canal St Martin. Le hall d'accueil est un peu défraîchi et nécessiterait d'être amélioré."
50,1,"Très bien personnel tres disponible et propreté impeccable .tres bonne insonorisation coté rue .
tres bonne boulangerie dans la rue . l insonnorisation entre chambres meme si ce n est pas catastrophique"
51,1,"Très bien L'emplacement est plutôt bien, le personnel est sympathique (mention spéciale pour Serge, très gentil !), le petit déjeuner est bien aussi. Bons restaurants à proximité et facilité d'accès depuis la Gare de l'Est sans avoir le bruit des rues alentours. La petitesse de la chambre, le fait d'être au rdc et de n'avoir qu'un seul coussin par personne."
52,1,Bon acceuil de la part de Steve TRES BIEN nan
53,1,Très bien Personnel très aimable et très serviable Wc minuscule et chambre petite pour 3 personne
54,1,"Bien  L'emplacement est très bien. A deux pas du canal st martin, de la gare de l'est et la gare du Nord.
La chambre est calme. Le personnel est sympathique. La chambre est petite et les équipements rudimentaires. Il y a un escabeau pour monter dans la douche. 
Le rapport qualité prix n'est pas très intéressant. Chambre à près de 200 euros pour un confort correct sans plus."
55,1,Hôtel sympathique sans prétention situé vers des quartiers sympas L’accueil La décoration
56,0,Très bien La literie L’isolation de la fenêtre de la salle de bain
57,1,"Très bien de passage La gentillesse et la politesse de Toufik à l’accueil, merci à lui nan"
58,1,"Fabuleux  Accueil du personnel très sympa, chambre propre, confortable, bien situé. 
Très bon rapport qualité prix ! nan"
59,1,"Fabuleux  - une chambre équipée spacieuse avec un lit king size et une décoration soignée !
- la personnalisation de l'accueil par Ahmed et Hatim, se sentant unique et privilégié ! nan"
60,1,"Exceptionnel Accueil chaleureux de jour comme de nuit, personnel au petit soin, hotel tres calme, bonne literie, bon petit dejeuner. Pas de kleenex dans la salle de bain."
61,1,"Bon séjour Hôtel bien situé à 5 mns de la Gare de l'Est, chambre un peu petite mais confortable, personnel très accueillant et agréable nan"
62,1,"Bien  bon accueil, donne de bons renseignements pour les visites à faire et où prendre le métro
très bon petit déjeuner
proche de la gare nan"
63,1,"Très bien La gentillesse du personnel. Merci à Serge ! 
Bonne literie. Chambre un peu petite.. on ouvre une grande valise et plus de place pour marcher dans la chambre"
64,1,Superbe Hotel très propre avec un personnel très accueillant et petite mention spéciale à Mr Serge pour ses très bons conseils. nan
65,1,"Hôtel pratique pour quelques nuits Lit confortable, la chambre était propre. Petit déjeuner copieux. Le personnel est très accueillant. Nous avons passé une bonne nuit. Le système de climatisation qui nous a été proposé nous a surpris. Nous ne nous voyions pas mettre le tuyaux dehors alors que nous étions au rdz. Sinon pas de soucis particulier"
66,1,"Excellent emplacement, hôtel accueillant à toute heure. L'amabilité du personnel, la réactivité à mes demandes, la volonté de rendre service. Le lit était particulièrement confortable, la chambre au calme, la propreté irréprochable. La bouilloire n'était pas automatique et il fallait donc que je maintienne le bouton appuyé pour faire chauffer l'eau. Mais bon, ce n'est pas si grave !"
67,1,"LHôtel bien placé et accueillant Proximité de la gare de l'Esr
proximité du canal St Martin, lieu festif et fréquenté
Nombreux restaurants sur place dans la rue nan"
68,1,"Bel hôtel dans une rue peu connue L'hôtel est propre et relativement spacieux pour Paris.
Les lits sont très grand en chambre double.
Le personnel est professionnel et très aimable, en particulier Toufik La rue devant l'hôtel est sale mais l'hôtel est très bien"
69,1,"agréable chambre confortable et bien équipée, accueil sympatique, décoration originale fauteuils de la salle du petit déjeuner pas adaptés pour un petit déjeuner"
70,1,"Exceptionnel Logement proche de la gare de l'Est idéal pour repartir tôt le matin.
Literie très confortable!
Accueil souriant et serviable, nous a fourni deux clés car ma femme et moi n'arrivions pas en même temps. Pas eu l'occasion de prendre le petit déjeuner."
71,1,"Une très bonne adresse L'accueil, la literie, les équipements, le petit-dejeuner Le prix !"
72,1,Très bien La propreté Trop calme
73,1,"Très bien Excellent emplacement, personnel disponible, accommodant et très souriant. Les portes font beaucoup de bruit quand elles se ferment."
74,1,"Superbe Rue calme, parking à côté de l’hôtel, bon rapport qualité prix pour Paris Rien"
75,1,"Bien  Le grand lit confortable, l'accueil chaleureux et le calme de la chambre. Douche un peu difficile d'accès."
76,1,"Bien situé ! L'emplacement, la gentillesse du personnel Chambre assez petite"
77,1,"Très bel hôtel et superbe emplacement Hôtel très bien situé par rapport à la gare, le métro. Salle du petit-déjeuner en face de l'accueil. Manque d'intimité et dans les courants d'air lorsque les gens entrent ou sortent (porte automatique)"
78,1,Agréable L'emplacement ; l'accueil nan
79,1,"Fabuleux  Le personnel : très agréable,disponible,de bon conseil le bruit de l’ascenseur"
80,0,Bien  Dommage pour la 1ere nuitée nous n'avions pas de code wifi et aucun moyen d'appeler la réception Dommage pour la 1ere nuitée nous n'avions pas de code wifi et aucun moyen d'appeler la réception
81,1,Exceptionnel Ascenseur en panne Ascenseur en panne
82,1,"Hôtel agréable hâte d y retourner Le personnel au top toujours à l écoute, serviable 
Hôtel très bien situé 
Chambre bien décorée et fonctionnel Ras"
83,1,Très bien Le petit déjeuner avec du choix et l’acceuil oú le personnel nous a très bien renseigné La taille de la chambre un peu trop petite
84,1,"Séjour agréable Lit très large (king size) et confortable. Chambre donnant sur une cour intérieure très calme. Hotel près de la gare de l'est et de nombreux théatres pour occuper notre soirée : tout se fait à pied, parfait ! Tout était bien"
85,1,"Superbe l'amabilité du personnel,la situation géographique,le calme. nan"
86,1,"Exceptionnel Le calme, la propreté Le prix du petit déjeuner 12euros c est trop cher"
87,0,Bien  L’amabilit Du personnel Le frigo vide
88,1,Exceptionnel Rapport qualité / prix tout à fait convenable. RAS
89,1,"Pas mal Paris10! Petite rue calme, proche République et Gares de l'Est et du Nord, Idem pour le métro et les bus. Chambre sur l'arrière donc aucun bruit extérieur. Pas de réception TV, aussitôt résolu par le personnel. Le café et le thé à disposition dans le hall, très sympa. Le manque d'isolation phonique ente chambres : télé, portes, conversations... Houps!!! Les sièges TRES bas (ce sont aussi les fauteuils d'attente du hall), de la salle de petit déjeuner sont hard dès qu'on a passé la trentaine!!"
90,1,"Propre, staff très gentil, mais un lit qui laisse à désirer. La propreté de la chambre et des lieux. 
Un staff aux petits soins, nous sommes arrivés en retard au petit déjeuner mais ils nous ont quand même servis. Nous les en remercions !! Le lit n’était pas très confortable et pas stable (chambre 404) cela nous a beaucoup dérangé. 
Les horaires des petits déjeuners ne sont pas indiqués sur booking sur qui fait que nous avons payés pour rien le dernier jour étant donné que notre train était trop matinale. Cela ne nous a pas plu."
91,1,"Rien a redire Personnel dacceuil acceuillant et toujours souriant
Meme si chambre assez petite conviebt parfaitement pour un couple de personne avec tout l'equipement necessaire
Bien isoler du bruit
A proximité de bonne instalation de restauration de bars et jen passe 
Jai trouver un cadre calme
Ideal pour jeune couple Chambre légèrement petite mais franchement convient agreablement"
92,1,"Tres fonctionnel - Idealement situe Hotel idealement situe, 5 min a pied de la Gare de l'Est, 10 min a pied de la Gare du Nord (RER CDG)
Tres nombreux lieux de restauration
Chambre tres fonctionnelle, eau chaude, TNT, frigo
Literie de bonne qualite
Bon rapport qualite prix (chambre double payee 83 euros) nan"
93,1,"Très bien La situation géographique était excellente pour nous rendre au théâtre de la Renaissance et pour se balader.
L'accueil très bonne : souriant et serviable Nous avons tout appricié"
94,0,Très bien La literie nan
95,1,"Exceptionnel mais tout le reste, propreté, service, literie, qualité des équipements etc était parfait et d'un bon rapport qualité prix. Très bien situé par ailleurs. Le petit-déjeuner est peut être cher pour ce qu'il est"
96,1,bien Le personnel agréable nan
97,1,Fabuleux  Très bien nan
98,1,Bonne expérience Literie confortable. Petit quartier très sympa. Parking à proximité (24e/jour) Chambre assez petit malgré un surclassement...
99,1,Excellent l'accueil est très sympathique! très bon hôtel. confort qualité et rapport qualité et prix. nan
100,1,"Exceptionnel l emplacement près de la gare dans une rue calme. bonne literie. disponibilité et amabilité à l accueil.
propreté de la chambre. plateau bouilloire nan"
101,1,"Très bien le personnel
le thé et le café à volonté J'ai choisi une chambre supérieure mais c'était un peu trop petite. la porte de la salle de bain ne s'est pas fermée correctement. 
Quand nous sommes arrivés pour le petit déjeuner, il en restait très peu, mais nous avons payé le montant total de 15 euros"
102,1,"Très bien petit hôtel bien sympa , le personnel est souriant et de bon conseil.
nous y avons passé une nuit ( de passage ) , avons apprécier le calme juste petite remarque , la largeur du lit un peu juste pour nous, mais bon...."
103,1,Très bon séjour L'hotel avait une super localisation. Proche de gare ou de stations de metro. nan
104,0,Bien  Localisation proche des deux gares Mauvaise insonorisation
105,1,"Très bien, je recommande L'accueil et la possibilité de laisser mes bagages avant d'intégrer la chambre. Chambre un peu petite pour 3 mais confortable et propre. A 2 pas de la gare de l'est, accessible à pied ou par le bus 56 ou 65 (2 arrêts). Nous avons tout apprécié."
106,1,"Bien  Salle de bain spacieux Salle du petit déjeuner, siège bas peux confortable
Trop loin d'une bouche métro"
107,1,"Pratique, rapport qualité-prix correct. Très bien placé, à proximité du canal St Martin, des gares du Nord et de l'Est. Personnel prévenant et agréable. Assez calme. Petite déjeuner assez basique."
108,1,"bref mais agréable et nous ne rentrions que le soir lit très confortable douche très pratique c'est impossible actuellement mais la chambre est un peu petite pour des gens âgés qui doivent louvoyer entre le lit et la table pour sortir de leur couche , laquelle est un peu haute , justement pour des personnes ayant des difficultés à se mouvoir mais non encore handicapées ..."
109,1,"calme et bien situé pour une nuit. la literie.Le personnel était très sympatique.
Le service bagagerie, très apprécié. il faisait froid dans la salle de bain.La chambre est petite.le petit déjeuner reste onéreux,( pas de vrai machine à café à disposition.)"
110,1,Très bien Félicitations au personnel vraiment prêt à aider avec grand sourire non forcé. Ma petite fille et moi avons été ravies. N'hésiterons pas du tout à y retourner. Le petit déjeuner onéreux.
111,1,Fabuleux  Petit déjeuner compris. nan
112,1,Bien  Merci a Toufik pour son accueil chaleureux nan
113,1,Très bien Calme A 7h petit déjeuner pas prêt
114,1,"Bon emplacement, juste à côté de la gare de l'Est Très bon emplacement, juste à côté de la gare de l'Est, personnel aimable, service de bagagerie au besoin. Literie confortable, les équipements de la chambre sont satisfaisants. La chambre que nous avons occupée était un peu petite, la douche pas franchement pratique, la salle de bain de façon générale nous a un peu déçue, pour le reste, rien à redire."
115,1,"Superbe L’état général ( propreté, équipement) La porte de la douche, l’étroitesse de la chambre, le fait que la salle du petit déjeuner ne soit pas séparée de l’accueil"
116,1,Agréable Aspect assez moderne. Pas trop loin de la Gare de l’Est. Les cheveux dans la salle de bains.
117,1,Exceptionnel L’accueil du personnel était parfait et son emplacement proche des stations de metro. De plus son implantation ds un quartier calme est un atout supplémentaire. Je recommande. nan
118,1,"Fabuleux  Proche de la gare 
Propre Épaisseur des murs 
Le voisin de la chambre à côté que l’on entend tousser comme s’il était à côté de vous"
119,1,"Bon rapport qualité prix. Accueil bien. L'emplacement
Rapport prix/qualité Les fenêtres sont équipées de rideaux occultants par contre sont dépourvues de rideaux brisevue c'est un peu dommage quand il fait jour de ne pas profiter de la lumière naturelle!"
120,1,Très bien Trop chaud dans la chambre. Trop chaud dans la chambre.
121,1,Bien  sieges du salon petit dejeuner sieges du salon petit dejeuner
122,1,"Bien  bon rapport qualité/prix/situation géographique la porte de la douche qui se démonte quand on la fait coulisser et la mauvaise insonorisation des chambres.
les fauteuils de la salle du petit déjeuner sont très jolis mais pas très pratiques pour prendre son petit déjeuner"
123,1,Très bien Personnel agreable. Chambre tres agreable. Juste a mon niveau... ma chambre donnait sur un lieu d evenementtiel . Mais l'hiver bonne isolation.
124,1,Tres bon rapport qualite prix Early check out suite a notre demande. Accueil tres sympathique de Toufik. Bon rapport qualite prix nan
125,1,"Bien  Lit confortable, hôtel bien situé. Le parking n est pas inclu dans le prix et coûte 25€.
Sur booking.com ce n est pas précisé."
126,1,"Très bien Propreté, malgré un morceau de papier peint qui se décolle, 
Personnel agréable et accueillant, belles chambres bien insonorisées D’être bloquée dans l’ascenseur 😂"
127,1,"Très bien J'ai apprécié l'accueil de Kamel et de Toufik le jour de départ, le rapport qualité-prix pour la période et la propreté de la chambre.
Je reviendrai sans hésitation nan"
